,ADM,Credito,Entrada,Prazo,Parcelas,Cod,Vencimento,Transferencia,
Auto,Magalu,13.116,9.000,22,550,C105,Consultar,Consultar,Disponível
Auto,Mycon,13.437,7.958,37,273,C38,15/08/2025,Consultar,Disponivel
Auto,Mycon,13.467,7.553,37,253,C38,15/08/2025,Consultar,Disponivel
Auto,Mycon,13.467,8.618,37,260,C38,15/08/2025,Consultar,Disponivel
Auto,Mycon,13.467,8.890,37,270,C38,15/08/2025,Consultar,Disponivel
Auto,Tradição,15.000,8.860,73,260,C131,10/08/2025,Consultar,Disponivel
Auto,Mycon,15.010,8.489,46,233,C38,21/08/2025,Consultar,Disponivel
Auto,Itau,16.600,10.600,47,322,C127,15/08/2025,"650,00",Disponivel
Auto,Mycon,16.797,8.455,36,471,C38,16/08/2025,Consultar,Disponivel
Auto,Mycon,17.631,7.779,41,426,C38,07/07/2025,Consultar,Disponivel
Auto,Mycon,17.957,7.877,41,466,C38,07/07/2025,Consultar,Disponivel
Auto,Mycon,18.210,8.262,39,422,C38,07/08/2025,Consultar,Disponivel
Auto,Mycon,18.290,8.048,39,416,C38,07/08/2025,Consultar,Disponivel
Auto,Mycon,18.498,8.354,39,433,C38,07/08/2025,Consultar,Disponivel
Auto,Mycon,18.686,8.492,39,408,C38,07/08/2025,Consultar,Disponivel
Auto,Mycon,18.710,8.103,44,439,C38,10/08/2025,Consultar,Disponivel
Auto,Mycon,18.710,8.630,44,366,C38,08/08/2025,Consultar,Disponivel
Auto,Itau,18.900,11.300,51,278,C127,15/08/2025,"650,00",Disponivel
Auto,Mycon,19.218,8.632,44,356,C38,08/08/2025,Consultar,Disponivel
Auto,Mycon,19.793,8.847,44,398,C38,08/08/2025,Consultar,Disponivel
Auto,Itau - M,20.000,7.500,42,593,C62,05/08/2025,"650,00",Disponível
Auto,Mycon,20.988,9.779,51,413,C38,10/08/2025,Consultar,Disponivel
Auto,Itau,21.928,9.200,42,652,C92,Consultar,650,Disponível
Auto,HS,28.700,15.800,53,466,C07,10/08/2025,Consultar,Disponivel
Auto,Mycon,29.569,12.719,46,560,C38,08/08/2025,Consultar,Disponivel
Auto,Itau,29.926,10.570,33,1.073,C131,15/08/2025,"650,00",Disponivel
Auto,Magalu,30.000,10.000,18,1.980,C105,Consultar,Consultar,Disponível
Auto,HS,30.825,16.900,43,570,C07,10/10/2025,Consultar,Disponivel
Auto,HS,32.000,17.800,43,583,C07,11/08/2025,Consultar,Disponivel
Auto,HS,32.530,22.000,28,585,C07,11/08/2025,Consultar,Disponivel
Auto,Itau,32.900,19.300,38,674,C127,15/08/2025,"650,00",Disponivel
Auto,Itau,33.900,18.000,42,790,C127,15/08/2025,"650,00",Disponivel
Auto,Porto,34.000,19.000,62,466,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,34.500,12.000,31,1.226,C127,15/08/2025,"406,00",Disponivel
Auto,Itau,35.000,19.900,85,493,C09,05/08/2025,Consultar,Disponivel
Auto,Porto,35.440,22.000,39,678,C07,15/08/2025,Consultar,Disponivel
Auto,Itau,36.593,10.000,34,1.301,C92,Consultar,650,Disponível
Auto,Mycon,36.817,13.819,43,945,C38,07/08/2025,Consultar,Disponivel
Auto,Magalu,37.000,20.500,56,566,C105,Consultar,Consultar,Disponível
Auto,Itau,37.045,11.500,35,1.284,C92,Consultar,650,Disponível
Auto,Itau,37.495,11.200,35,1.365,C92,Consultar,650,Disponível
Auto,Itau,38.474,13.200,34,1.338,C131,15/08/2025,"650,00",Disponivel
Auto,Porto,39.200,15.000,28,1.333,C127,15/08/2025,"523,00",Disponivel
Auto,Porto,39.580,18.900,27,1.307,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,39.580,21.300,27,1.194,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,40.000,20.900,40,1.065,C09,15/08/2025,Consultar,Disponivel
Auto,Itau,40.013,11.000,29,1.720,C92,Consultar,650,Disponível
Auto,Magalu,41.418,24.000,20,1.463,C105,Consultar,Consultar,Disponível
Auto,Itau,41.700,11.000,42,1.240,C62,15/08/2025,"650,00",Disponível
Auto,Itau,41.900,15.000,46,1.009,C62,15/08/2025,"650,00",Disponível
Auto,Mycon,42.100,16.037,79,603,C38,07/08/2025,Consultar,Disponivel
Auto,Itau,43.000,13.000,26,2.026,C92,Consultar,650,Disponível
Auto,Itau,43.010,12.200,33,1.530,C92,Consultar,650,Disponível
Auto,Unicoob,43.075,16.500,30,1.391,C105,Consultar,Consultar,Disponível
Auto,Itau,43.095,12.400,36,1.379,C92,Consultar,650,Disponível
Auto,Mycon,43.105,19.156,47,853,C38,08/08/2025,Consultar,Disponivel
Auto,Mycon,43.105,20.155,47,811,C38,08/08/2025,Consultar,Disponivel
Auto,Mycon,43.119,17.141,47,882,C38,08/08/2025,Consultar,Disponivel
Auto,Mycon,43.923,18.053,70,669,C38,15/08/2025,Consultar,Disponivel
Auto,Bradesco,44.100,29.000,36,773,C117,10/08/2025,"800,00",Disponivel
Auto,Porto,44.300,23.500,37,911,C127,15/08/2025,"442,22",Disponivel
Auto,Magalu,44.517,23.500,68,679,C105,Consultar,Consultar,Disponível
Auto,Porto,44.730,16.500,24,1.748,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,44.730,17.200,24,1.701,C07,15/08/2025,Consultar,Disponivel
Auto,Mycon,44.757,17.868,52,757,C38,07/08/2025,Consultar,Disponivel
Auto,Porto,45.400,26.800,31,954,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,45.620,18.800,21,1.969,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,45.920,16.000,25,1.755,C07,15/08/2025,Consultar,Disponivel
Auto,Itau,45.959,13.100,33,1.701,C92,Consultar,650,Disponível
Auto,Disal,47.000,14.500,40,1.660,C50,20/08/2025,650,Disponivel
Auto,Disal,47.000,14.500,40,1.660,C50,20/08/2025,"650,00",Disponivel
Auto,Porto,47.030,16.500,29,1.569,C07,15/08/2025,Consultar,Disponivel
Auto,Mycon,48.000,18.693,85,649,C38,07/08/2025,Consultar,Disponivel
Auto,Mycon,48.000,18.900,56,9.750,C50,05/08/2025,Consultar,Disponivel
Auto,Disal,49.500,15.000,40,1.767,C50,20/08/2025,"650,00",Disponivel
Auto,Porto,52.170,18.000,27,1.861,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,52.700,17.000,34,1.734,C127,15/08/2025,"700,00",Disponivel
Auto,Porto,52.700,23.000,39,1.290,C127,15/08/2025,"700,00",Disponivel
Auto,Porto,53.000,21.000,36,1.410,C127,15/08/2025,"707,00",Disponivel
Auto,Porto,53.200,20.000,37,1.405,C127,15/08/2025,"750,00",Disponivel
Auto,Porto,53.290,22.000,37,1.320,C07,15/08/2025,Consultar,Disponivel
Auto,Porto,53.300,19.200,37,1.405,C07,15/08/2025,Consultar,Disponivel
Auto,Disal,53.500,16.500,42,1.824,C50,20/08/2025,"650,00",Disponivel
